"gsis_id","PlayerName","PlayerPosition","season","FP","Targets","Reception","Receiving_TDs","WOPR","WR_Rank","n","All_time_n","Expected_FP","WOPR_Change_yty","NY_WR_Rank","TD_Change_yty"
"00-0034267","Jaleel Scott","WR",2020,2.6,1,1,0,0.00491072126924755,"WR4+",1,2,2.76413323322866,NA,NA,NA
"00-0034272","Marquez Valdes-Scantling","WR",2020,139.3,63,33,6,0.367947936308633,"WR2",14,44,82.9369609050912,NA,NA,NA
"00-0034273","Damion Ratley","WR",2020,10.3,10,4,0,0.0446960688003033,"WR4+",5,19,6.81174087594078,NA,NA,NA
"00-0034279","Equanimeous St. Brown","WR",2020,25.4,13,7,1,0.0622269872604003,"WR4+",8,19,16.4125785746863,NA,NA,NA
"00-0034286","Richie James","WR",2020,68.1,35,23,1,0.155464190981432,"WR3",7,20,47.7620142926542,NA,NA,NA
"00-0034297","Byron Pringle","WR",2020,35,17,13,1,0.0627545619518097,"WR4+",5,11,24.2375013912742,NA,NA,NA
"00-0034309","Chad Beebe","WR",2020,52.1,30,20,2,0.111960925097654,"WR3",10,14,36.4146183021996,NA,NA,NA
"00-0034317","Keith Kirkwood","WR",2020,2.3,2,1,0,0.0105589876791643,"WR4+",1,8,1.5308105104116,NA,NA,NA
"00-0034348","Courtland Sutton","WR",2020,9.6,6,3,0,0.0300345601622643,"WR4+",1,33,7.14363502886486,NA,NA,NA
"00-0034353","Anthony Miller","WR",2020,110.7,76,49,2,0.281031432633075,"WR3",16,46,72.7520410287632,NA,NA,NA
"00-0034366","Keke Coutee","WR",2020,91,40,33,3,0.154949215805907,"WR4+",8,22,56.8444757613547,NA,NA,NA
"00-0034370","DaeSean Hamilton","WR",2020,64.3,45,23,2,0.197977435458382,"WR4+",12,32,48.7582437297039,NA,NA,NA
"00-0034386","Justin Watson","WR",2020,16.4,11,7,0,0.038625992943449,"WR4+",3,12,16.6194762014272,NA,NA,NA
"00-0034395","Daurice Fountain","WR",2020,4.3,3,2,0,0.0128016485339389,"WR4+",2,2,5.38360125737554,NA,NA,NA
"00-0034407","Ray-Ray McCloud","WR",2020,35.6,22,20,0,0.0442881251523979,"WR4+",11,18,15.1743385164586,NA,NA,NA
"00-0034411","Russell Gage","WR",2020,181.06,109,72,4,0.364184170246301,"WR2",16,35,146.711260976228,NA,NA,NA
"00-0034418","Cedrick Wilson","WR",2020,51.62,28,17,2,0.0974664527007442,"WR4+",10,13,31.0129638733437,NA,NA,NA
"00-0034419","Braxton Berrios","WR",2020,97.3,55,37,3,0.220796217147287,"WR4+",13,19,66.3739993960358,NA,NA,NA
"00-0034426","Javon Wims","WR",2020,17,12,6,1,0.0531337861317327,"WR4+",9,22,11.3212173169856,NA,NA,NA
"00-0034487","Trent Sherfield","WR",2020,10,7,5,0,0.0302540611172156,"WR4+",2,16,8.78592827832477,NA,NA,NA
"00-0034510","Robert Foster","WR",2020,5.7,6,2,0,0.0296696705646558,"WR4+",3,24,6.06680754635125,NA,NA,NA
"00-0034521","Allen Lazard","WR",2020,97.8,46,33,3,0.203675848698739,"WR3",10,22,69.5798286370915,NA,NA,NA
"00-0034631","Vyncint Smith","WR",2020,2.3,3,1,0,0.0147321638077426,"WR4+",2,19,3.78997925328125,NA,NA,NA
"00-0034646","Brandon Powell","WR",2020,31.6,18,12,2,0.051084238210384,"WR4+",10,14,14.8707377187722,NA,NA,NA
"00-0034652","Cameron Batson","WR",2020,30,13,12,1,0.0520317957190267,"WR4+",9,15,22.7501951512285,NA,NA,NA
"00-0034653","Deontay Burnett","WR",2020,4.9,4,3,0,0.0110238290292038,"WR4+",1,7,5.12526734685125,NA,NA,NA
"00-0034660","Rico Gafford","WR",2020,0,2,0,0,0.0151546329917551,"WR4+",2,4,0.0601857867880119,NA,NA,NA
"00-0034676","James Washington","WR",2020,99.2,56,30,5,0.230553701826209,"WR4+",16,43,57.0505308452183,NA,NA,NA
"00-0034686","Auden Tate","WR",2020,29,22,14,0,0.0830920031897316,"WR4+",8,24,26.4662699658292,NA,NA,NA
"00-0034764","Michael Gallup","WR",2020,173.3,105,59,5,0.412971817678338,"WR2",16,45,137.797202047029,NA,NA,NA
"00-0034765","Tre'Quan Smith","WR",2020,103.1,50,34,4,0.232890345998478,"WR3",13,36,63.7711755685918,NA,NA,NA
"00-0034772","Antonio Callaway","WR",2020,4,4,2,0,0.0147146667341625,"WR4+",3,23,2.93271882112024,NA,NA,NA
"00-0034775","Christian Kirk","WR",2020,146.4,79,48,6,0.342940931903899,"WR2",14,39,88.0232243818113,NA,NA,NA
"00-0034777","D.J. Chark","WR",2020,153.6,93,53,5,0.399108633268939,"WR1",13,38,108.237663352578,NA,NA,NA
"00-0034827","D.J. Moore","WR",2020,211.5,118,66,4,0.567395037519456,"WR2",15,46,156.200981270224,NA,NA,NA
"00-0034837","Calvin Ridley","WR",2020,283.2,144,91,9,0.588939735478162,"WR1",15,44,188.867004682846,NA,NA,NA
"00-0034854","Khadarel Hodge","WR",2020,29,17,11,0,0.09430498256938,"WR4+",7,17,29.5998380999657,NA,NA,NA
"00-0034928","Steven Sims","WR",2020,61.3,37,27,1,0.134674097557765,"WR3",11,24,39.2536429569719,NA,NA,NA
"00-0034960","Jakobi Meyers","WR",2020,142.52,81,59,0,0.447772072951775,"WR2",12,23,114.719892392154,NA,NA,NA
"00-0034983","Hunter Renfrow","WR",2020,133.6,77,56,2,0.28472229271151,"WR2",16,29,91.2318073416781,NA,NA,NA
"00-0035006","Olabisi Johnson","WR",2020,32.9,19,14,0,0.0880318290505958,"WR4+",8,21,25.5551246569402,NA,NA,NA
"00-0035021","Ashton Dulin","WR",2020,9.4,6,3,0,0.0211852208245049,"WR4+",7,9,5.79610153404341,NA,NA,NA
"00-0035022","Penny Hart","WR",2020,3.2,1,1,0,0.00231018420395087,"WR4+",1,1,1.81112168000022,NA,NA,NA
"00-0035140","Mecole Hardman","WR",2020,124.1,62,41,4,0.232861175521726,"WR2",16,31,72.9838359130844,NA,NA,NA
"00-0035181","Darrius Shepherd","WR",2020,9.6,8,5,0,0.0422522321379228,"WR4+",6,7,4.4506250732218,NA,NA,NA
"00-0035208","Olamide Zaccheaus","WR",2020,53.4,32,20,1,0.128606918429028,"WR4+",9,12,46.9929455500622,NA,NA,NA
"00-0035215","Deonte Harris","WR",2020,49.7,25,20,1,0.0897785063325722,"WR4+",9,17,34.1696830119377,NA,NA,NA
"00-0035216","Diontae Johnson","WR",2020,223.8,144,88,7,0.49392718265936,"WR1",15,31,140.471545849138,NA,NA,NA
"00-0035246","J.J. Arcega-Whiteside","WR",2020,12.5,8,4,0,0.0340235933845967,"WR4+",5,13,11.0438067207539,NA,NA,NA
"00-0035287","KeeSean Johnson","WR",2020,32.3,23,15,0,0.0963568734594482,"WR4+",8,18,22.2484762244099,NA,NA,NA
"00-0035298","Scott Miller","WR",2020,102.5,53,33,3,0.226995988804131,"WR3",14,23,60.6668887446391,NA,NA,NA
"00-0035313","Terry Godwin","WR",2020,6.5,6,3,0,0.0237457096235722,"WR4+",2,2,5.64350847698115,NA,NA,NA
"00-0035341","Trenton Irwin","WR",2020,1.5,2,1,0,0.00654499850292308,"WR4+",1,1,0.167424597675343,NA,NA,NA
"00-0035350","Preston Williams","WR",2020,70.8,35,18,4,0.171928756062758,"WR4+",8,16,40.8225628678256,NA,NA,NA
"00-0035406","Lil'Jordan Humphrey","WR",2020,13.6,5,3,1,0.0250094647073747,"WR4+",2,3,8.74086733329627,NA,NA,NA
"00-0035414","Jalen Guyton","WR",2020,97.1,55,28,3,0.257459632794485,"WR3",16,17,54.7526123085642,NA,NA,NA
"00-0035457","Tyron Johnson","WR",2020,79.5,26,20,3,0.138146124335061,"WR4+",11,11,46.5643099929938,NA,NA,NA
"00-0035480","Malik Taylor","WR",2020,18.5,6,5,1,0.0232248452038049,"WR4+",6,6,10.5933340112223,NA,NA,NA
"00-0035510","Jeff Smith","WR",2020,33.7,37,17,0,0.179553493368188,"WR4+",8,9,30.2681805769828,NA,NA,NA
"00-0035527","Andy Isabella","WR",2020,54.8,35,21,2,0.148759094823746,"WR4+",11,20,32.4232578698518,NA,NA,NA
"00-0035535","Darius Slayton","WR",2020,143,96,50,3,0.482507467198021,"WR1",16,30,117.302418959482,NA,NA,NA
"00-0035590","Riley Ridley","WR",2020,7.9,4,4,0,0.0144053072184489,"WR4+",2,5,9.56303285451035,NA,NA,NA
"00-0035592","Travis Fulgham","WR",2020,115.9,67,38,4,0.257261469384491,"WR1",12,14,80.8723631097544,NA,NA,NA
"00-0035624","N'Keal Harry","WR",2020,75.9,57,33,2,0.286056635272624,"WR3",13,20,54.6698883897092,NA,NA,NA
"00-0035639","Parris Campbell","WR",2020,14.7,9,6,0,0.0424695757457197,"WR4+",2,9,11.7278952065997,NA,NA,NA
"00-0035640","DK Metcalf","WR",2020,273.3,129,83,10,0.572713803683266,"WR1",16,32,183.717270288774,NA,NA,NA
"00-0035645","Gunner Olszewski","WR",2020,19.5,5,5,1,0.0220337879694669,"WR4+",6,8,11.2410196835616,NA,NA,NA
"00-0035659","Terry McLaurin","WR",2020,225.8,134,87,4,0.553972683031019,"WR1",15,29,161.379839675731,NA,NA,NA
"00-0035662","Marquise Brown","WR",2020,183,100,58,8,0.599125793186089,"WR1",16,30,108.300933521257,NA,NA,NA
"00-0035676","A.J. Brown","WR",2020,243.5,106,70,11,0.510089416402185,"WR1",14,30,156.981013675251,NA,NA,NA
"00-0035703","Miles Boykin","WR",2020,69.6,33,19,4,0.189156839783218,"WR3",13,25,43.6816487657578,NA,NA,NA
"00-0035719","Deebo Samuel","WR",2020,80.7,44,33,1,0.126384994316029,"WR4+",7,22,56.0996509464331,NA,NA,NA
"00-0035848","DeMichael Harris","WR",2020,22.5,10,10,0,0.0290055792669628,"WR4+",6,6,15.5467545561406,NA,NA,NA
"00-0035864","Kendall Hinton","WR",2020,-1.28,NA,0,0,NA,"WR4+",1,1,0.134758555780857,NA,NA,NA
"00-0035869","Austin Mack","WR",2020,16.1,11,7,0,0.0450614411526464,"WR4+",5,5,13.1549909414648,NA,NA,NA
"00-0036040","Juwan Johnson","WR",2020,7.9,10,4,0,0.0429221552212009,"WR4+",5,5,8.21929628375914,NA,NA,NA
"00-0036100","Isaiah Zuber","WR",2020,7,2,2,0,0.00605558530464821,"WR4+",4,4,6.63155920154575,NA,NA,NA
"00-0036110","Ja'Marcus Bradley","WR",2020,11,11,5,0,0.052121001546503,"WR4+",1,1,7.68620885867603,NA,NA,NA
"00-0036133","James Proche","WR",2020,2.4,3,1,0,0.0126596584874316,"WR4+",3,3,2.62071697170551,NA,NA,NA
"00-0036142","Isaiah Wright","WR",2020,48.3,35,27,0,0.106298623968846,"WR4+",11,11,32.6727374190476,NA,NA,NA
"00-0036145","Lawrence Cager","WR",2020,5.5,6,2,0,0.0304534938896257,"WR4+",2,2,5.85283087328014,NA,NA,NA
"00-0036182","Nick Westbrook-Ikhine","WR",2020,6.3,8,3,0,0.03767082590612,"WR4+",7,7,8.57814353603175,NA,NA,NA
"00-0036196","Gabriel Davis","WR",2020,136.9,62,35,7,0.27814969327916,"WR3",16,16,86.9436346733027,NA,NA,NA
"00-0036219","Marquez Callaway","WR",2020,42.3,27,21,0,0.122104872860683,"WR4+",6,6,32.002398778095,NA,NA,NA
"00-0036233","Donovan Peoples-Jones","WR",2020,56.4,20,14,2,0.1137452505702,"WR4+",7,7,30.4468534513588,NA,NA,NA
"00-0036247","Freddie Swain","WR",2020,40.9,21,13,2,0.0841365410177636,"WR4+",12,12,22.0680521775152,NA,NA,NA
"00-0036252","Michael Pittman","WR",2020,98.9,61,40,1,0.249814619239152,"WR3",13,13,76.426694210632,NA,NA,NA
"00-0036254","Collin Johnson","WR",2020,57.2,31,18,2,0.124611756100306,"WR4+",10,10,33.3763696486336,NA,NA,NA
"00-0036255","Denzel Mims","WR",2020,58.7,44,23,0,0.233052423552968,"WR3",9,9,42.952769804218,NA,NA,NA
"00-0036261","Brandon Aiyuk","WR",2020,182.9,96,60,5,0.403933308071239,"WR1",12,12,127.602953431364,NA,NA,NA
"00-0036268","Laviska Shenault","WR",2020,157.1,79,58,5,0.250744134141081,"WR3",14,14,102.249390456546,NA,NA,NA
"00-0036271","Quez Watkins","WR",2020,23.6,13,7,1,0.0455990179489732,"WR4+",4,4,13.4446319854908,NA,NA,NA
"00-0036277","Quintez Cephus","WR",2020,66.9,35,20,2,0.155666436304109,"WR3",11,11,44.5888059638054,NA,NA,NA
"00-0036309","Darnell Mooney","WR",2020,150.1,98,61,4,0.388289369767809,"WR2",16,16,105.694121913037,NA,NA,NA
"00-0036322","Justin Jefferson","WR",2020,270.2,125,88,7,0.581805666256068,"WR1",16,16,178.594228159718,NA,NA,NA
"00-0036326","Chase Claypool","WR",2020,215.5,109,62,9,0.460409902336982,"WR2",16,16,119.452294621285,NA,NA,NA
"00-0036331","Devin Duvernay","WR",2020,47.1,26,20,0,0.121049048176693,"WR4+",14,14,31.6017399437889,NA,NA,NA
"00-0036340","Antonio Gandy-Golden","WR",2020,3.5,7,1,0,0.0310306760198538,"WR4+",4,4,3.7852286611058,NA,NA,NA
"00-0036357","Henry Ruggs","WR",2020,88.1,43,26,2,0.227961742003054,"WR3",13,13,39.4672779483005,NA,NA,NA
"00-0036358","CeeDee Lamb","WR",2020,211.7,111,74,5,0.395778294875796,"WR3",16,16,141.670481007551,NA,NA,NA
"00-0036365","Bryan Edwards","WR",2020,36.3,15,11,1,0.0586508427186616,"WR4+",9,9,24.3818040117792,NA,NA,NA
"00-0036377","Joe Reed","WR",2020,8.9,1,0,0,0.000935391009906458,"WR4+",3,3,2.61476556475842,NA,NA,NA
"00-0036382","K.J. Hill","WR",2020,14.3,11,7,0,0.0366708382675567,"WR4+",5,5,8.89349880562762,NA,NA,NA
"00-0036387","Jalen Reagor","WR",2020,79.2,54,31,1,0.21258367722984,"WR3",11,11,65.957658512226,NA,NA,NA
"00-0036398","John Hightower","WR",2020,26.7,29,10,0,0.151811273340088,"WR4+",10,10,20.281855403028,NA,NA,NA
"00-0036407","Jerry Jeudy","WR",2020,155.6,113,52,3,0.500601502794826,"WR1",16,16,116.8191237244,NA,NA,NA
"00-0036410","Tee Higgins","WR",2020,196.6,108,67,6,0.441170354583761,"WR2",15,15,151.218567663778,NA,NA,NA
"00-0036412","K.J. Hamler","WR",2020,90.1,56,30,3,0.225434247071569,"WR3",12,12,60.4932815463055,NA,NA,NA
"00-0036415","Van Jefferson","WR",2020,46.9,31,19,1,0.138017680913411,"WR4+",13,13,31.5112171538705,NA,NA,NA
"00-0036427","Tyler Johnson","WR",2020,40.9,17,12,2,0.0603381921037589,"WR4+",10,10,26.0939839801316,NA,NA,NA
"00-0036439","Tyrie Cleveland","WR",2020,12.3,9,6,0,0.0339164256480495,"WR4+",5,5,11.1006607886523,NA,NA,NA
